iter	Passed	Remaining
597	1748	4100
598	1752	4098
599	1755	4095
600	1758	4092
601	1760	4089
602	1763	4085
603	1766	4082
604	1769	4079
605	1771	4075
606	1774	4072
607	1777	4070
608	1780	4066
609	1783	4063
610	1786	4060
611	1789	4057
612	1792	4054
613	1794	4051
614	1797	4047
615	1800	4045
616	1803	4042
617	1806	4038
618	1808	4035
619	1811	4031
620	1814	4029
621	1817	4025
622	1820	4022
623	1822	4019
624	1825	4016
625	1828	4012
626	1831	4010
627	1835	4009
628	1838	4006
629	1841	4004
630	1844	4000
631	1847	3998
632	1850	3996
633	1853	3993
634	1856	3990
635	1859	3987
636	1862	3985
637	1865	3982
638	1868	3979
639	1871	3977
640	1874	3973
641	1877	3970
642	1880	3969
643	1883	3966
644	1887	3964
645	1890	3963
646	1893	3960
647	1896	3957
648	1900	3955
649	1903	3953
650	1906	3950
651	1909	3947
652	1912	3944
653	1915	3941
654	1918	3939
655	1921	3936
656	1924	3933
657	1927	3931
658	1930	3927
659	1933	3924
660	1936	3921
661	1939	3919
662	1942	3917
663	1945	3914
664	1948	3911
665	1951	3909
666	1955	3907
667	1958	3905
668	1961	3902
669	1964	3900
670	1968	3898
671	1971	3896
672	1975	3894
673	1978	3892
674	1982	3890
675	1985	3889
676	1989	3887
677	1992	3884
678	1995	3882
679	2000	3882
680	2003	3880
681	2006	3878
682	2010	3876
683	2013	3874
684	2016	3871
685	2019	3868
686	2022	3866
687	2025	3862
688	2028	3860
689	2032	3858
690	2035	3855
691	2038	3854
692	2043	3853
693	2046	3850
694	2049	3847
695	2052	3844
696	2056	3843
697	2059	3840
698	2062	3838
699	2065	3835
700	2068	3832
701	2071	3830
702	2075	3828
703	2078	3825
704	2081	3823
705	2084	3820
706	2087	3818
707	2090	3815
708	2093	3812
709	2096	3809
710	2099	3807
711	2103	3805
712	2107	3803
713	2110	3801
714	2113	3798
715	2116	3794
716	2119	3792
717	2122	3789
718	2125	3786
719	2129	3785
720	2132	3782
721	2135	3780
722	2138	3777
723	2141	3774
724	2144	3771
725	2147	3768
726	2151	3767
727	2154	3764
728	2157	3762
729	2160	3759
730	2163	3756
731	2167	3755
732	2171	3752
733	2174	3750
734	2178	3748
735	2181	3746
736	2185	3744
737	2188	3742
738	2192	3741
739	2195	3739
740	2200	3738
741	2203	3735
742	2207	3733
743	2210	3731
744	2214	3729
745	2217	3727
746	2221	3726
747	2224	3724
748	2227	3721
749	2231	3719
750	2234	3716
751	2237	3713
752	2240	3710
753	2243	3707
754	2246	3705
755	2249	3702
756	2253	3699
757	2256	3696
758	2259	3693
759	2262	3691
760	2265	3688
761	2268	3685
762	2271	3682
763	2274	3679
764	2277	3676
765	2281	3675
766	2285	3673
767	2288	3671
768	2291	3667
769	2294	3665
770	2297	3662
771	2300	3660
772	2304	3657
773	2308	3655
774	2311	3653
775	2314	3650
776	2317	3647
777	2320	3645
778	2324	3643
779	2327	3640
780	2330	3638
781	2334	3635
782	2337	3633
783	2340	3630
784	2343	3627
785	2346	3624
786	2349	3621
787	2352	3619
788	2356	3617
789	2360	3614
790	2363	3612
791	2366	3610
792	2370	3607
793	2373	3604
794	2376	3601
795	2379	3599
796	2382	3596
797	2386	3593
798	2389	3591
799	2392	3588
800	2396	3586
801	2399	3583
802	2402	3581
803	2405	3578
804	2408	3575
805	2412	3573
806	2415	3570
807	2418	3568
808	2422	3566
809	2425	3563
810	2428	3560
811	2431	3557
812	2435	3555
813	2438	3552
814	2441	3549
815	2444	3547
816	2447	3543
817	2450	3541
818	2453	3538
819	2456	3535
820	2460	3533
821	2463	3530
822	2466	3527
823	2470	3525
824	2473	3523
825	2477	3521
826	2480	3518
827	2483	3515
828	2486	3512
829	2490	3510
830	2493	3507
831	2495	3503
832	2499	3502
833	2502	3499
834	2505	3496
835	2509	3493
836	2511	3490
837	2515	3487
838	2518	3485
839	2521	3482
840	2524	3479
841	2528	3476
842	2531	3474
843	2534	3471
844	2538	3469
845	2541	3466
846	2544	3464
847	2548	3461
848	2551	3458
849	2554	3456
850	2557	3453
851	2560	3449
852	2563	3447
853	2566	3443
854	2569	3440
855	2572	3437
856	2575	3434
857	2578	3431
858	2581	3428
859	2584	3425
860	2587	3422
861	2590	3419
862	2593	3416
863	2596	3414
864	2600	3411
865	2603	3409
866	2607	3406
867	2611	3405
868	2614	3402
869	2617	3399
870	2620	3397
871	2624	3394
872	2627	3392
873	2630	3389
874	2634	3386
875	2637	3383
876	2640	3381
877	2644	3378
878	2647	3376
879	2650	3373
880	2654	3371
881	2658	3369
882	2661	3366
883	2664	3364
884	2667	3361
885	2670	3358
886	2675	3356
887	2678	3354
888	2682	3352
889	2685	3348
890	2688	3345
891	2691	3343
892	2694	3339
893	2696	3336
894	2700	3333
895	2702	3330
896	2706	3327
897	2709	3324
898	2712	3321
899	2715	3319
900	2718	3316
901	2722	3313
902	2725	3311
903	2729	3308
904	2732	3305
905	2735	3302
906	2739	3301
907	2742	3298
908	2745	3295
909	2749	3292
910	2752	3290
911	2755	3287
912	2758	3284
913	2761	3281
914	2764	3278
915	2767	3275
916	2771	3272
917	2774	3269
918	2777	3267
919	2780	3264
920	2783	3261
921	2786	3258
922	2789	3255
923	2792	3252
924	2796	3249
925	2798	3246
926	2802	3243
927	2805	3241
928	2808	3238
929	2811	3235
930	2814	3231
931	2818	3229
932	2820	3226
933	2824	3223
934	2827	3220
935	2830	3217
936	2833	3215
937	2836	3211
938	2839	3208
939	2843	3206
940	2846	3203
941	2850	3200
942	2853	3198
943	2856	3195
944	2859	3192
945	2862	3189
946	2866	3187
947	2869	3184
948	2872	3181
949	2875	3178
950	2878	3174
951	2882	3172
952	2884	3169
953	2888	3166
954	2891	3163
955	2894	3160
956	2897	3157
957	2900	3154
958	2903	3151
959	2906	3149
960	2909	3145
961	2913	3143
962	2915	3140
963	2919	3137
964	2922	3134
965	2925	3130
966	2928	3127
967	2931	3125
968	2934	3122
969	2938	3119
970	2941	3116
971	2944	3113
972	2947	3110
973	2950	3107
974	2953	3104
975	2956	3101
976	2959	3098
977	2962	3095
978	2965	3092
979	2968	3089
980	2971	3086
981	2974	3083
982	2978	3081
983	2981	3077
984	2983	3074
985	2986	3071
986	2989	3068
987	2993	3066
988	2996	3062
989	2999	3059
990	3002	3056
991	3005	3053
992	3008	3050
993	3011	3047
994	3014	3044
995	3018	3042
996	3020	3039
997	3023	3036
998	3026	3032
999	3029	3029
1000	3032	3026
1001	3035	3023
1002	3039	3020
1003	3042	3018
1004	3046	3015
1005	3049	3012
1006	3052	3009
1007	3055	3006
1008	3058	3003
1009	3061	3000
1010	3092	3025
1011	3097	3024
1012	3101	3021
1013	3105	3019
1014	3108	3016
1015	3113	3015
1016	3117	3013
1017	3121	3011
1018	3125	3009
1019	3129	3006
1020	3133	3004
1021	3136	3001
1022	3140	2998
1023	3143	2996
1024	3147	2994
1025	3152	2992
1026	3155	2989
1027	3158	2986
1028	3161	2983
1029	3164	2980
1030	3167	2977
1031	3171	2974
1032	3174	2971
1033	3178	2969
1034	3181	2965
1035	3183	2962
1036	3186	2959
1037	3190	2956
1038	3192	2953
1039	3195	2949
1040	3198	2946
1041	3201	2943
1042	3204	2940
1043	3207	2937
1044	3210	2934
1045	3213	2930
1046	3216	2927
1047	3219	2924
1048	3221	2920
1049	3224	2917
1050	3227	2914
1051	3230	2910
1052	3233	2908
1053	3236	2904
1054	3239	2901
1055	3243	2899
1056	3246	2896
1057	3250	2894
1058	3253	2891
1059	3257	2888
1060	3259	2885
1061	3262	2881
1062	3265	2878
1063	3268	2875
1064	3271	2872
1065	3274	2868
1066	3277	2865
1067	3280	2862
1068	3283	2859
1069	3285	2856
1070	3288	2852
1071	3291	2849
1072	3294	2846
1073	3298	2843
1074	3301	2840
1075	3304	2837
1076	3307	2834
1077	3309	2830
1078	3313	2828
1079	3316	2824
1080	3319	2821
1081	3322	2818
1082	3325	2815
1083	3327	2812
1084	3331	2809
1085	3334	2806
1086	3337	2803
1087	3341	2800
1088	3344	2797
1089	3347	2794
1090	3350	2791
1091	3354	2789
1092	3357	2786
1093	3361	2783
1094	3364	2780
1095	3367	2777
1096	3370	2774
1097	3373	2771
1098	3377	2769
1099	3380	2765
1100	3384	2763
1101	3387	2760
1102	3389	2756
1103	3393	2753
1104	3395	2750
1105	3399	2747
1106	3402	2744
1107	3404	2740
1108	3407	2737
