SEQN,CYCLE,RIAGENDR,RIDAGEYR
85190.0,2015-2016,2.0,29.0
85193.0,2015-2016,2.0,36.0
85194.0,2015-2016,2.0,38.0
85200.0,2015-2016,2.0,46.0
85204.0,2015-2016,2.0,20.0
85209.0,2015-2016,2.0,43.0
85222.0,2015-2016,2.0,35.0
85224.0,2015-2016,2.0,48.0
85229.0,2015-2016,2.0,29.0
85231.0,2015-2016,2.0,40.0
85243.0,2015-2016,2.0,43.0
85244.0,2015-2016,2.0,43.0
85248.0,2015-2016,2.0,16.0
85252.0,2015-2016,2.0,22.0
85254.0,2015-2016,2.0,17.0
85264.0,2015-2016,2.0,26.0
85276.0,2015-2016,2.0,13.0
85284.0,2015-2016,2.0,20.0
85286.0,2015-2016,2.0,18.0
85290.0,2015-2016,2.0,22.0
85293.0,2015-2016,2.0,29.0
85297.0,2015-2016,2.0,19.0
85302.0,2015-2016,2.0,46.0
85303.0,2015-2016,2.0,45.0
85306.0,2015-2016,2.0,13.0
85309.0,2015-2016,2.0,23.0
85319.0,2015-2016,2.0,42.0
85326.0,2015-2016,2.0,15.0
85331.0,2015-2016,2.0,14.0
85337.0,2015-2016,2.0,43.0
85341.0,2015-2016,2.0,37.0
85343.0,2015-2016,2.0,21.0
85352.0,2015-2016,2.0,38.0
85354.0,2015-2016,2.0,45.0
85361.0,2015-2016,2.0,43.0
85362.0,2015-2016,2.0,20.0
85367.0,2015-2016,2.0,49.0
85382.0,2015-2016,2.0,18.0
85384.0,2015-2016,2.0,32.0
85389.0,2015-2016,2.0,15.0
85390.0,2015-2016,2.0,23.0
85396.0,2015-2016,2.0,33.0
85399.0,2015-2016,2.0,35.0
85401.0,2015-2016,2.0,46.0
85407.0,2015-2016,2.0,31.0
85408.0,2015-2016,2.0,30.0
85412.0,2015-2016,2.0,26.0
85415.0,2015-2016,2.0,41.0
85420.0,2015-2016,2.0,21.0
85431.0,2015-2016,2.0,47.0
85434.0,2015-2016,2.0,15.0
85436.0,2015-2016,2.0,31.0
85437.0,2015-2016,2.0,34.0
85438.0,2015-2016,2.0,45.0
85443.0,2015-2016,2.0,48.0
85453.0,2015-2016,2.0,42.0
85455.0,2015-2016,2.0,16.0
85460.0,2015-2016,2.0,17.0
85463.0,2015-2016,2.0,48.0
85468.0,2015-2016,2.0,46.0
85476.0,2015-2016,2.0,30.0
85477.0,2015-2016,2.0,44.0
85483.0,2015-2016,2.0,32.0
85492.0,2015-2016,2.0,22.0
85494.0,2015-2016,2.0,16.0
85497.0,2015-2016,2.0,34.0
85502.0,2015-2016,2.0,16.0
85504.0,2015-2016,2.0,16.0
85505.0,2015-2016,2.0,18.0
85509.0,2015-2016,2.0,15.0
85515.0,2015-2016,2.0,21.0
85518.0,2015-2016,2.0,32.0
85525.0,2015-2016,2.0,40.0
85527.0,2015-2016,2.0,40.0
85537.0,2015-2016,2.0,25.0
85540.0,2015-2016,2.0,13.0
85546.0,2015-2016,2.0,18.0
85556.0,2015-2016,2.0,24.0
85565.0,2015-2016,2.0,18.0
85566.0,2015-2016,2.0,42.0
85567.0,2015-2016,2.0,16.0
85580.0,2015-2016,2.0,48.0
85587.0,2015-2016,2.0,49.0
85590.0,2015-2016,2.0,16.0
85591.0,2015-2016,2.0,18.0
85592.0,2015-2016,2.0,16.0
85596.0,2015-2016,2.0,16.0
85599.0,2015-2016,2.0,21.0
85601.0,2015-2016,2.0,18.0
85611.0,2015-2016,2.0,20.0
85613.0,2015-2016,2.0,37.0
85621.0,2015-2016,2.0,19.0
85627.0,2015-2016,2.0,35.0
85631.0,2015-2016,2.0,20.0
85633.0,2015-2016,2.0,13.0
85637.0,2015-2016,2.0,14.0
85645.0,2015-2016,2.0,17.0
85649.0,2015-2016,2.0,43.0
85653.0,2015-2016,2.0,13.0
85655.0,2015-2016,2.0,27.0
85656.0,2015-2016,2.0,34.0
85658.0,2015-2016,2.0,14.0
85661.0,2015-2016,2.0,36.0
85676.0,2015-2016,2.0,32.0
85695.0,2015-2016,2.0,12.0
85696.0,2015-2016,2.0,32.0
85702.0,2015-2016,2.0,40.0
85706.0,2015-2016,2.0,28.0
85707.0,2015-2016,2.0,41.0
85716.0,2015-2016,2.0,33.0
85717.0,2015-2016,2.0,14.0
85721.0,2015-2016,2.0,12.0
85722.0,2015-2016,2.0,41.0
85732.0,2015-2016,2.0,34.0
85734.0,2015-2016,2.0,17.0
85759.0,2015-2016,2.0,43.0
85771.0,2015-2016,2.0,12.0
85778.0,2015-2016,2.0,19.0
85779.0,2015-2016,2.0,35.0
85781.0,2015-2016,2.0,37.0
85783.0,2015-2016,2.0,32.0
85785.0,2015-2016,2.0,32.0
85787.0,2015-2016,2.0,26.0
85789.0,2015-2016,2.0,33.0
85805.0,2015-2016,2.0,18.0
85817.0,2015-2016,2.0,36.0
85819.0,2015-2016,2.0,40.0
85822.0,2015-2016,2.0,43.0
85823.0,2015-2016,2.0,28.0
85831.0,2015-2016,2.0,46.0
85846.0,2015-2016,2.0,25.0
85849.0,2015-2016,2.0,29.0
85858.0,2015-2016,2.0,48.0
85859.0,2015-2016,2.0,35.0
85869.0,2015-2016,2.0,23.0
85874.0,2015-2016,2.0,14.0
85878.0,2015-2016,2.0,27.0
85883.0,2015-2016,2.0,12.0
85909.0,2015-2016,2.0,12.0
85911.0,2015-2016,2.0,49.0
85912.0,2015-2016,2.0,49.0
85913.0,2015-2016,2.0,12.0
85915.0,2015-2016,2.0,34.0
85917.0,2015-2016,2.0,31.0
85924.0,2015-2016,2.0,12.0
85936.0,2015-2016,2.0,27.0
85942.0,2015-2016,2.0,46.0
85948.0,2015-2016,2.0,38.0
85958.0,2015-2016,2.0,32.0
85994.0,2015-2016,2.0,43.0
86006.0,2015-2016,2.0,12.0
86007.0,2015-2016,2.0,46.0
86009.0,2015-2016,2.0,33.0
86011.0,2015-2016,2.0,45.0
86022.0,2015-2016,2.0,23.0
86023.0,2015-2016,2.0,14.0
86024.0,2015-2016,2.0,13.0
86027.0,2015-2016,2.0,25.0
86029.0,2015-2016,2.0,26.0
86031.0,2015-2016,2.0,22.0
86038.0,2015-2016,2.0,15.0
86043.0,2015-2016,2.0,14.0
86048.0,2015-2016,2.0,16.0
86050.0,2015-2016,2.0,39.0
86051.0,2015-2016,2.0,36.0
86056.0,2015-2016,2.0,33.0
86059.0,2015-2016,2.0,25.0
86071.0,2015-2016,2.0,38.0
86082.0,2015-2016,2.0,49.0
86085.0,2015-2016,2.0,19.0
86087.0,2015-2016,2.0,31.0
86090.0,2015-2016,2.0,26.0
86101.0,2015-2016,2.0,14.0
86105.0,2015-2016,2.0,23.0
86115.0,2015-2016,2.0,12.0
86123.0,2015-2016,2.0,36.0
86127.0,2015-2016,2.0,46.0
86145.0,2015-2016,2.0,14.0
86150.0,2015-2016,2.0,47.0
86153.0,2015-2016,2.0,15.0
86155.0,2015-2016,2.0,18.0
86158.0,2015-2016,2.0,45.0
86159.0,2015-2016,2.0,20.0
86162.0,2015-2016,2.0,12.0
86166.0,2015-2016,2.0,13.0
86167.0,2015-2016,2.0,36.0
86169.0,2015-2016,2.0,46.0
86172.0,2015-2016,2.0,33.0
86177.0,2015-2016,2.0,38.0
86180.0,2015-2016,2.0,15.0
86181.0,2015-2016,2.0,42.0
86184.0,2015-2016,2.0,18.0
86188.0,2015-2016,2.0,30.0
86189.0,2015-2016,2.0,28.0
86191.0,2015-2016,2.0,29.0
86200.0,2015-2016,2.0,48.0
86210.0,2015-2016,2.0,47.0
86212.0,2015-2016,2.0,32.0
86218.0,2015-2016,2.0,25.0
86224.0,2015-2016,2.0,13.0
86226.0,2015-2016,2.0,23.0
86232.0,2015-2016,2.0,13.0
86238.0,2015-2016,2.0,45.0
86245.0,2015-2016,2.0,47.0
86249.0,2015-2016,2.0,24.0
86260.0,2015-2016,2.0,26.0
86262.0,2015-2016,2.0,31.0
86272.0,2015-2016,2.0,22.0
86279.0,2015-2016,2.0,35.0
86288.0,2015-2016,2.0,17.0
86290.0,2015-2016,2.0,29.0
86293.0,2015-2016,2.0,40.0
86297.0,2015-2016,2.0,35.0
86308.0,2015-2016,2.0,22.0
86311.0,2015-2016,2.0,18.0
86316.0,2015-2016,2.0,12.0
86321.0,2015-2016,2.0,25.0
86322.0,2015-2016,2.0,39.0
86323.0,2015-2016,2.0,24.0
86324.0,2015-2016,2.0,29.0
86327.0,2015-2016,2.0,12.0
